BveTs Vehicle Performance Table 1.00,,,,,
#,cMax,,,,
84,1.1,8.6,20.6,34.4,92.5
85,1.1,8.5,20.4,34,91.4
86,1.1,8.4,20.2,33.6,90.3
87,1.1,8.3,19.9,33.2,89.3
88,1.1,8.2,19.7,32.8,88.3
89,1.1,8.1,19.5,32.5,87.3
90,1,8,19.3,32.1,86.3
91,1,7.9,19.1,31.8,85.4
92,1,7.8,18.8,31.4,84.5
93,1,7.7,18.6,31.1,83.5
94,1,7.7,18.4,30.7,82.7
95,1,7.6,18.3,30.4,81.8
96,1,7.5,18.1,30.1,80.9
97,1,7.4,17.9,29.8,80.1
98,1,7.3,17.7,29.5,79.3
99,1,7.3,17.5,29.2,78.5
100,0.9,7.2,17.3,28.9,77.7
101,0.9,7.1,17.2,28.6,76.9
102,0.9,7.1,17,28.3,76.2
103,0.9,7,16.8,28.1,75.4
104,0.9,6.9,16.7,27.8,74.7
105,0.9,6.9,16.5,27.5,74
106,0.9,6.8,16.4,27.3,73.3
107,0.9,6.7,16.2,27,72.6
108,0.9,6.7,16.1,26.8,71.9
109,0.9,6.6,15.9,26.5,71.3
110,0.9,6.5,15.8,26.3,70.6
111,0.8,6.5,15.6,26,70
112,0.8,6.4,15.5,25.8,69.4
113,0.8,6.4,15.3,25.6,68.8
114,0.8,6.3,15.2,25.4,68.2
115,0.8,6.3,15.1,25.1,67.6
116,0.8,6.2,14.9,24.9,67
117,0.8,6.2,14.8,24.7,66.4
118,0.8,6.1,14.7,24.5,65.8
119,0.8,6,14.6,24.3,65.3
120,0.8,6,14.5,24.1,64.7
121,0.8,5.9,14.3,23.9,64.2
122,0.8,5.9,14.2,23.7,63.7
123,0.8,5.9,14.1,23.5,63.2
124,0.8,5.8,14,23.3,62.7
125,0.8,5.8,13.9,23.1,62.2
126,0.7,5.7,13.8,22.9,61.7
127,0.7,5.7,13.7,22.8,61.2
128,0.7,5.6,13.5,22.6,60.7
129,0.7,5.6,13.4,22.4,60.2
130,0.7,5.5,13.3,22.2,59.8
131,0.7,5.5,13.2,22.1,59.3
132,0.7,5.5,13.1,21.9,58.9
133,0.7,5.4,13,21.7,58.4
134,0.7,5.4,12.9,21.6,58
135,0.7,5.3,12.8,21.4,57.6
136,0.7,5.3,12.8,21.3,57.1
137,0.7,5.3,12.7,21.1,56.7
138,0.7,5.2,12.6,20.9,56.3
139,0.7,5.2,12.5,20.8,55.9
140,0.7,5.1,12.4,20.6,55.5
141,0.7,5.1,12.3,20.5,55.1
142,0.7,5.1,12.2,20.4,54.7
143,0.7,5,12.1,20.2,54.3
144,0.7,5,12,20.1,54
145,0.6,5,12,19.9,53.6
146,0.6,4.9,11.9,19.8,53.2
147,0.6,4.9,11.8,19.7,52.9
148,0.6,4.9,11.7,19.5,52.5
149,0.6,4.8,11.6,19.4,52.1
150,0.6,4.8,11.6,19.3,51.8
