BveTs Vehicle Performance Table 1.00,,,,,
#,fMax,,,,
121,346.7,3056.9,3111.5,4682.1,7318.1
122,342.8,3021.9,3065.7,4613.3,7198.6
123,338.9,2987.5,3021,4546,7082
124,335,2953.9,2977.3,4480.2,6968.3
125,331.3,2920.8,2934.5,4415.9,6857.2
126,327.6,2888.4,2892.8,4353,6748.8
127,324,2856.6,2851.9,4291.5,6642.9
128,320.5,2825.4,2811.9,4231.4,6539.6
129,317,2794.8,2772.8,4172.5,6438.6
130,313.6,2764.8,2734.5,4114.9,6339.9
131,310.2,2735.3,2697.1,4058.5,6243.5
132,307,2706.3,2660.4,4003.4,6149.2
133,303.7,2677.9,2624.5,3949.3,6057.1
134,300.6,2649.9,2589.3,3896.5,5967
135,297.5,2622.5,2554.9,3844.7,5879
136,294.4,2595.5,2521.2,3793.9,5792.8
137,291.4,2569,2488.2,3744.2,5708.6
138,288.4,2543,2455.8,3695.5,5626.1
139,285.5,2517.4,2424.1,3647.8,5545.5
140,282.7,2492.3,2393,3601,5466.5
141,279.9,2467.6,2362.6,3555.2,5389.3
142,277.1,2443.3,2332.7,3510.3,5313.6
143,274.4,2419.4,2303.4,3466.2,5239.6
144,271.8,2395.9,2274.7,3423,5167.1
145,269.1,2372.8,2246.6,3380.6,5096
146,266.6,2350.1,2218.9,3339,5026.5
147,264,2327.8,2191.8,3298.3,4958.3
148,261.5,2305.8,2165.2,3258.3,4891.5
149,259.1,2284.1,2139.2,3219,4826.1
150,256.7,2262.8,2113.6,3180.5,4762
