BveTs Vehicle Performance Table 1.00,,,,,
#,f,,,,
60,916.5,8079.9,10887.8,16384,24715
61,895.5,7895,10568.7,15903.8,24309.8
62,875.3,7717.3,10263.8,15445,23917.7
63,855.9,7546.4,9972.4,15006.5,23538.1
64,837.3,7381.8,9693.7,14587.1,23170.3
65,819.3,7223.3,9426.9,14185.6,22813.8
66,802,7070.6,9171.4,13801.1,22468.2
67,785.3,6923.3,8926.5,13432.6,22132.8
68,769.2,6781.2,8691.6,13079.1,21807.4
69,753.6,6644,8466.1,12739.9,21491.3
70,738.6,6511.5,8249.7,12414.1,21184.3
71,724,6383.4,8041.7,12101.2,20885.9
72,710,6259.7,7841.8,11800.3,20461.5
73,696.4,6139.9,7649.5,11511,19904.8
74,683.3,6024.1,7464.4,11232.5,19370.5
75,670.6,5911.9,7286.2,10964.4,18857.4
76,658.2,5803.3,7114.6,10706,18364.4
77,646.3,5698.1,6949.1,10457.1,17890.5
78,634.7,5596.1,6789.6,10217,17434.7
79,623.5,5497.2,6635.7,9985.4,16996.1
80,612.6,5401.2,6487.1,9761.8,16573.9
81,602.1,5308.1,6343.7,9546,16167.1
82,591.8,5217.7,6205.1,9337.5,15775.2
83,581.9,5129.9,6071.2,9135.9,15397.4
84,572.2,5044.6,5941.7,8941.1,15033
85,562.8,4961.7,5816.5,8752.6,14681.3
86,553.6,4881.1,5695.3,8570.3,14341.9
87,544.8,4802.7,5578,8393.8,14014.1
88,536.1,4726.5,5464.4,8222.9,13697.4
89,527.7,4652.3,5354.4,8057.3,13391.3
90,519.5,4580.1,5247.8,7896.9,13095.4
91,511.5,4509.8,5144.5,7741.4,12809.2
92,503.8,4441.3,5044.2,7590.6,12532.2
93,496.2,4374.6,4947,7444.3,12264.2
94,488.8,4309.6,4852.7,7302.4,12004.6
95,481.6,4246.2,4761.1,7164.6,11753.2
96,474.6,4184.4,4672.2,7030.8,11509.6
97,467.8,4124.2,4585.9,6900.9,11273.5
98,461.1,4065.4,4502,6774.6,11044.6
99,454.6,4008,4420.5,6652,10822.6
100,448.3,3952,4341.2,6532.7,10607.3
101,442.1,3897.3,4264.2,6416.7,10398.3
102,436,3843.9,4189.2,6304,10195.4
103,430.1,3791.8,4116.3,6194.2,9998.4
104,424.3,3740.8,4045.3,6087.4,9807
105,418.7,3691.1,3976.2,5983.5,9621.1
106,413.1,3642.4,3909,5882.2,9440.4
107,407.7,3594.8,3843.5,5783.7,9264.8
108,402.5,3548.3,3779.6,5687.6,9094
109,397.3,3502.8,3717.5,5594,8927.9
110,392.3,3458.3,3656.9,5502.8,8766.3
111,387.3,3414.8,3597.8,5413.9,8609.1
112,382.5,3372.2,3540.2,5327.2,8456
113,377.8,3330.5,3484,5242.7,8307
114,373.1,3289.6,3429.1,5160.2,8161.9
115,368.6,3249.7,3375.7,5079.7,8020.6
116,364.2,3210.5,3323.5,5001.1,7882.9
117,359.8,3172.2,3272.5,4924.5,7748.8
118,355.5,3134.6,3222.8,4849.6,7618
119,351.4,3097.8,3174.2,4776.5,7490.5
120,347.3,3061.7,3126.7,4705.1,7366.2
121,343.3,3026.3,3080.4,4635.3,7244.9
122,339.3,2991.7,3035.1,4567.2,7126.6
123,335.5,2957.7,2990.8,4500.5,7011.2
124,331.7,2924.3,2947.5,4435.4,6898.6
125,328,2891.6,2905.2,4371.7,6788.7
126,324.3,2859.5,2863.8,4309.5,6681.3
127,320.8,2828.1,2823.4,4248.6,6576.5
128,317.3,2797.2,2783.8,4189,6474.2
129,313.8,2766.9,2745.1,4130.8,6374.2
130,310.5,2737.1,2707.2,4073.8,6276.5
131,307.1,2707.9,2670.1,4018,6181
132,303.9,2679.2,2633.8,3963.3,6087.7
133,300.7,2651.1,2598.3,3909.9,5996.5
134,297.6,2623.4,2563.5,3857.5,5907.4
135,294.5,2596.3,2529.4,3806.2,5820.2
136,291.5,2569.6,2496,3756,5734.9
137,288.5,2543.4,2463.3,3706.8,5651.5
138,285.6,2517.6,2431.3,3658.6,5569.9
139,282.7,2492.3,2399.9,3611.3,5490
140,279.9,2467.4,2369.1,3565,5411.9
141,277.1,2442.9,2338.9,3519.6,5335.4
142,274.4,2418.9,2309.4,3475.2,5260.5
143,271.7,2395.2,2280.4,3431.5,5187.2
144,269,2372,2252,3388.8,5115.4
145,266.4,2349.1,2224.1,3346.8,5045.1
146,263.9,2326.6,2196.7,3305.7,4976.2
147,261.4,2304.5,2169.9,3265.3,4908.7
148,258.9,2282.7,2143.6,3225.7,4842.6
149,256.5,2261.3,2117.8,3186.8,4777.8
150,254.1,2240.2,2092.4,3148.7,4714.3
